Project Id;Project Name;Project Link;Project Scope;Citizen Science Web Name;Citizen Science Web Link
1;LADA-UC3M;https://ciencia-ciudadana.es/proyecto-cc/lada-uc3m/;Cultura y Arqueología;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
2;PAAM;https://ciencia-ciudadana.es/proyecto-cc/paam/;Ciencias Sociales, Educación, Informática y Ciencias de la Computación, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
3;Cities at Night;https://ciencia-ciudadana.es/proyecto-cc/cities-at-night-2/;Biodiversidad, Ecología y Medioambiente, Espacio y Astronomía;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
4;FuenAragón;https://ciencia-ciudadana.es/proyecto-cc/fuenaragon/;Biodiversidad, Ciencias de la Agricultura y Veterinaria, Clima y Meteorología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
5;Laboratorio Ciudadano de Salud Urbana;https://ciencia-ciudadana.es/proyecto-cc/laboratorio-ciudadano-de-salud-urbana/;Biodiversidad, Ecología y Medioambiente, Medicina y Salud, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
6;Biologia/Geologia aplicada a la identidad territorial;https://ciencia-ciudadana.es/proyecto-cc/biologia-geologia-aplicada-a-la-identidad-territorial/;Animales, Biodiversidad, Biogeografía, Ciencia de los Alimentos, Ciencias Químicas, Ciencias Sociales, Clima y Meteorología, Ecología y Medioambiente, Educación, Geografía, Geología y Ciencias de la Tierra, Informática y Ciencias de la Computación, Insectos y Polinizadores, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
7;URBANOME – URBANLAB-MAD;https://ciencia-ciudadana.es/proyecto-cc/urbanome-urbanlab-mad/;Ciencias Sociales, Ecología y Medioambiente, Medicina y Salud, Naturaleza y Aire Libre, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
8;REC-LIT;https://ciencia-ciudadana.es/proyecto-cc/rec-lit/;Educación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
9;La Digitalizadora de la Memoria Colectiva;https://ciencia-ciudadana.es/proyecto-cc/la-digitalizadora-de-la-memoria-colectiva/;Ciencias Políticas, Ciencias Sociales, Cultura y Arqueología, Educación, Informática y Ciencias de la Computación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
10;Bosque Anouk – Ecos de la Tierra;https://ciencia-ciudadana.es/proyecto-cc/bosque-anouk-ecos-de-la-tierra/;Animales, Cultura y Arqueología, Culturas Indígenas, Ecología y Medioambiente, Educación, Geografía, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Pájaros, Sonido;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
11;AGORAge: Ageing in a Caring Community;https://ciencia-ciudadana.es/proyecto-cc/agorage-ageing-in-a-caring-community/;Ciencias Sociales;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
12;Aulachek, «Monta una noticia, desmonta un bulo»;https://ciencia-ciudadana.es/proyecto-cc/aulachek-monta-una-noticia-desmonta-un-bulo/;Biodiversidad, Ciencia de los Alimentos, Ciencias Sociales, Clima y Meteorología, Cultura y Arqueología, Educación, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
13;Wikiesfera;https://ciencia-ciudadana.es/proyecto-cc/wikiesfera/;Ciencias Políticas, Ciencias Sociales, Cultura y Arqueología, Culturas Indígenas, Educación, Informática y Ciencias de la Computación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
14;La colmena feliz;https://ciencia-ciudadana.es/proyecto-cc/la-colmena-feliz/;Biodiversidad, Ecología y Medioambiente, Educación, Insectos y Polinizadores, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
15;RedPROMAR;https://ciencia-ciudadana.es/proyecto-cc/redpromar-2/;Biodiversidad, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Océanos, Agua, Marino y Terrestre, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
16;FleboCollect- Ciencia ciudadana y construcción de trampas DIY para flebotomos;https://ciencia-ciudadana.es/proyecto-cc/flebocollect/;Animales, Biodiversidad, Clima y Meteorología, Educación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
17;La Colmena Cultural — Buscador de patrimonio cultural pueblo a pueblo;https://ciencia-ciudadana.es/proyecto-cc/la-colmena-cultural-buscador-de-patrimonio-cultural-pueblo-a-pueblo/;Ciencias Sociales, Cultura y Arqueología, Educación, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
18;Cycling with Clean Air, CWCA;https://ciencia-ciudadana.es/proyecto-cc/cycling-with-clean-air-cwca/;Clima y Meteorología, Ecología y Medioambiente, Educación, Medicina y Salud, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
19;Banco de Imágenes del Mundo rural;https://ciencia-ciudadana.es/proyecto-cc/banco-de-imagenes-del-mundo-rural/;Animales, Biodiversidad, Biogeografía, Ciencia de los Alimentos, Ciencias de la Agricultura y Veterinaria, Ciencias Sociales, Clima y Meteorología, Cultura y Arqueología, Culturas Indígenas, Ecología y Medioambiente, Geografía, Gestión de Recursos Naturales, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
20;Picaduras de conocimiento;https://ciencia-ciudadana.es/proyecto-cc/picaduras-de-conocimiento/;Biodiversidad, Ciencias de la Agricultura y Veterinaria, Ecología y Medioambiente;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
21;SeCosta – Ciencia ciudadana para el estudio del medio marino;https://ciencia-ciudadana.es/proyecto-cc/secosta-ciencia-ciudadana-para-el-estudio-del-medio-marino/;Clima y Meteorología, Física, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
22;INCISE-Integrando ciencia ciudadana y datos estandarizados;https://ciencia-ciudadana.es/proyecto-cc/incise-integrando-ciencia-ciudadana-y-datos-estandarizados/;Animales, Biodiversidad, Informática y Ciencias de la Computación, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
23;Transformación de las actividades en por la COVID-19;https://ciencia-ciudadana.es/proyecto-cc/transformacion-de-las-actividades-en-por-la-covid-19/;Ciencias Sociales, Cultura y Arqueología, Ecología y Medioambiente, Geografía;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
24;MicroMundo;https://ciencia-ciudadana.es/proyecto-cc/micromundo/;Biodiversidad, Ecología y Medioambiente, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
25;MonuMAI;https://ciencia-ciudadana.es/proyecto-cc/monumai/;Ciencias Sociales, Cultura y Arqueología, Educación, Informática y Ciencias de la Computación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
26;“The Inclusive Circular Lab”: economía circular y ciencia ciudadana en escuelas;https://ciencia-ciudadana.es/proyecto-cc/the-inclusive-circular-lab-economia-circular-y-ciencia-ciudadana-en-escuelas/;Biodiversidad, Ciencia de los Alimentos, Ciencias de la Agricultura y Veterinaria, Ecología y Medioambiente, Educación, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
27;DeVOTE – Los significados de ‘votar’ para los ciudadanos;https://ciencia-ciudadana.es/proyecto-cc/devote-los-significados-de-votar-para-los-ciudadanos/;Ciencias Políticas, Ciencias Sociales;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
28;Experimento de Ciencia Ciudadana-INCREASE;https://ciencia-ciudadana.es/proyecto-cc/experimento-de-ciencia-ciudadana-increase/;Biodiversidad, Ciencias de la Agricultura y Veterinaria, Genética;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
29;Natusfera;https://ciencia-ciudadana.es/proyecto-cc/natusfera-2/;Biodiversidad;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
30;PLASTICØPYR SWICH;https://ciencia-ciudadana.es/proyecto-cc/plasticopyr-swich/;Biodiversidad, Clima y Meteorología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
31;«Satélites Españoles»;https://ciencia-ciudadana.es/proyecto-cc/satelites-espanoles/;Espacio y Astronomía;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
32;Gestión colaborativa de la medicación y su implementación en España, foco en desórdenes graves de salud mental;https://ciencia-ciudadana.es/proyecto-cc/gestion-colaborativa-de-la-medicacion-y-su-implementacion-en-espana-foco-en-desordenes-graves-de-salud-mental/;Biodiversidad, Ciencias Políticas, Ciencias Sociales, Culturas Indígenas, Educación, Genética, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
33;YouCount -Youth Citizen Science/Ciencia Ciudadana Juvenil;https://ciencia-ciudadana.es/proyecto-cc/youcount-youth-citizen-science-ciencia-ciudadana-juvenil/;Ciencias Sociales;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
34;Servet;https://ciencia-ciudadana.es/proyecto-cc/servet/;Clima y Meteorología, Educación, Espacio y Astronomía, Informática y Ciencias de la Computación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
35;InterFungi.net – Red de observadores intergeneracionales del reino fungi en Aragón;https://ciencia-ciudadana.es/proyecto-cc/interfungi-red-observadores-setas-reino-fungi-aragon/;Biodiversidad, Biología, Ciencia de los Alimentos, Ciencias de la Agricultura y Veterinaria, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
36;MedusApp;https://ciencia-ciudadana.es/proyecto-cc/medusapp/;Biología, Ecología y Medioambiente, Educación, Informática y Ciencias de la Computación, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
37;Proyecto Plumbum – descontaminación de fondos marinos de metales pesados, el plomo.;https://ciencia-ciudadana.es/proyecto-cc/proyecto-plumbum-fondos-marinos/;Biodiversidad, Biología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
38;OBA – Observatorio de la Biodiversidad Agraria;https://ciencia-ciudadana.es/proyecto-cc/cc-oba-observatorio-de-la-biodiversidad-agraria/;Animales, Biodiversidad, Biogeografía, Biología, Ciencias de la Agricultura y Veterinaria, Ecología y Medioambiente, Gestión de Recursos Naturales, Insectos y Polinizadores, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
39;MEDNIGHT;https://ciencia-ciudadana.es/proyecto-cc/mednight/;Biodiversidad, Biogeografía, Clima y Meteorología, Ecología y Medioambiente, Geología y Ciencias de la Tierra, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
40;Laboratorio CIPAT;https://ciencia-ciudadana.es/proyecto-cc/laboratorio-cipat/;Ciencias Sociales, Educación, Geografía;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
41;POSIMED;https://ciencia-ciudadana.es/proyecto-cc/posimed/;Biodiversidad, Ecología y Medioambiente, Océanos, Agua, Marino y Terrestre, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
42;Adopta una Planta;https://ciencia-ciudadana.es/proyecto-cc/adopta-una-planta/;Biodiversidad, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
43;SINOBAS, Sistema de NOtificación de OBservaciones Atmosféricas Singulares;https://ciencia-ciudadana.es/proyecto-cc/sinobas/;Clima y Meteorología;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
44;Proyecto SAFE –  Stop a los Atropellos de Fauna en España;https://ciencia-ciudadana.es/proyecto-cc/cc-proyecto-safe-stop-atropellos-animales-fauna-espana/;Animales, Biodiversidad, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
45;Mobionrural – Experimento de movilidad rural;https://ciencia-ciudadana.es/proyecto-cc/mobionrural-experimento-de-movilidad-rural/;Ciencias Sociales, Ecología y Medioambiente, Geografía, Informática y Ciencias de la Computación, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
46;OpenTEK – Indicadores Locales de Impactos del Cambio Climático.;https://ciencia-ciudadana.es/proyecto-cc/opentek-indicadores-locales-de-impactos-del-cambio-climatico/;Animales, Biodiversidad, Biología, Ciencia de los Alimentos, Clima y Meteorología, Culturas Indígenas, Ecología y Medioambiente, Educación, Geografía, Geología y Ciencias de la Tierra, Insectos y Polinizadores, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
47;LIFE INVASAQUA;https://ciencia-ciudadana.es/proyecto-cc/life-invasaqua/;Animales, Biodiversidad, Biogeografía, Biología, Ciencia de los Alimentos, Ciencias de la Agricultura y Veterinaria, Ecología y Medioambiente, Educación, Insectos y Polinizadores, Medicina y Salud, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
48;La fina hebra que nos une;https://ciencia-ciudadana.es/proyecto-cc/la-fina-hebra-que-nos-une/;Biología, Educación, Genética;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
49;«CIUDADES que CUIDAN»;https://ciencia-ciudadana.es/proyecto-cc/ciudades-que-cuidan/;Biodiversidad, Biogeografía, Ciencias Políticas, Ciencias Sociales, Ecología y Medioambiente, Educación, Informática y Ciencias de la Computación, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
50;Aula Taller Museo de las Matemáticas Pi-ensa;https://ciencia-ciudadana.es/proyecto-cc/aula-taller-museo-de-las-matematicas-pi-ensa/;Educación, Informática y Ciencias de la Computación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
51;eBird España;https://ciencia-ciudadana.es/proyecto-cc/ebird-espana/;Animales, Biodiversidad, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
52;Aragón Open Air Museum;https://ciencia-ciudadana.es/proyecto-cc/aragon-open-air-museum/;Ciencias Sociales, Cultura y Arqueología, Educación, Geografía;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
53;APICULTURA TRADICIONAL – BURGOS;https://ciencia-ciudadana.es/proyecto-cc/apicultura-tradicional-burgos/;Animales, Biodiversidad, Biología, Cultura y Arqueología, Ecología y Medioambiente, Educación, Geografía, Insectos y Polinizadores, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
54;Ríos y riveras libres de plástico. Biodiversidad.;https://ciencia-ciudadana.es/proyecto-cc/rios-y-riveras-libres-de-plastico-biodiversidad/;Biodiversidad, Ecología y Medioambiente, Gestión de Recursos Naturales, Naturaleza y Aire Libre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
55;Urban Butterfly Monitoring Scheme – Observatorio ciudadano de mariposas urbanas en Madrid y Barcelona;https://ciencia-ciudadana.es/proyecto-cc/urban-butterfly-monitor-scheme-observatorio-ciudadano-de-mariposas-urbanas-en-madrid-y-barcelona/;Animales, Biodiversidad, Ecología y Medioambiente, Insectos y Polinizadores, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
56;AGEO;https://ciencia-ciudadana.es/proyecto-cc/ageo/;Geología y Ciencias de la Tierra;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
57;#FakeNurses;https://ciencia-ciudadana.es/proyecto-cc/fakenurses/;Ciencias Políticas, Ciencias Sociales, Educación, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
58;Red de Alerta Temprana de Canarias para la detección e intervención de especies exóticas invasoras;https://ciencia-ciudadana.es/proyecto-cc/redexos-red-de-deteccion-e-intervencion-de-especies-exoticas-invasoras-de-canarias/;Animales, Biodiversidad, Biología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Insectos y Polinizadores, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
59;COMPASS;https://ciencia-ciudadana.es/proyecto-cc/compass/;Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
60;Arqueología satelital;https://ciencia-ciudadana.es/proyecto-cc/arqueologia-satelital/;Biodiversidad, Clima y Meteorología, Cultura y Arqueología, Educación, Espacio y Astronomía, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Informática y Ciencias de la Computación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
61;CoastSnap Cádiz;https://ciencia-ciudadana.es/proyecto-cc/coastsnap-cadiz/;Clima y Meteorología, Ecología y Medioambiente, Geografía, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
62;Observatorio Ciudadano de la Sequía;https://ciencia-ciudadana.es/proyecto-cc/observatorio-ciudadano-de-la-sequia/;Ciencias Sociales, Clima y Meteorología, Ecología y Medioambiente, Geografía, Gestión de Recursos Naturales, Informática y Ciencias de la Computación, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
63;«Picture your microbes – Imagina tus microbios»;https://ciencia-ciudadana.es/proyecto-cc/picture-your-microbes-imagina-tus-microbios/;Biología, Ciencia de los Alimentos, Ciencias Químicas, Educación, Informática y Ciencias de la Computación, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
64;Proyecto de Voluntariado Hippocampus;https://ciencia-ciudadana.es/proyecto-cc/proyecto-de-voluntariado-hippocampus/;Biodiversidad, Biología, Ecología y Medioambiente, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
65;AquaCoLab – Burgos (FCT – 19 – 15215);https://ciencia-ciudadana.es/proyecto-cc/aquacolab-burgos-fct-19-15215/;Animales, Biodiversidad, Biología, Ciencias Químicas, Ecología y Medioambiente, Educación, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Insectos y Polinizadores, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
66;Fundesplai;https://ciencia-ciudadana.es/proyecto-cc/fundesplai/;Ciencia de los Alimentos, Ciencias Sociales, Ecología y Medioambiente, Educación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
67;WeCount – Ciencia ciudadana para contabilizar la movilidad;https://ciencia-ciudadana.es/proyecto-cc/wecount/;Ecología y Medioambiente, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
68;Plataforma MARNOBA-Caracterización de Basuras Marinas;https://ciencia-ciudadana.es/proyecto-cc/plataforma-marnoba/;Ecología y Medioambiente, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
69;Proyecto LIBERA;https://ciencia-ciudadana.es/proyecto-cc/proyecto-libera/;Animales, Biodiversidad, Biogeografía, Ciencias Sociales, Ecología y Medioambiente, Educación, Geografía, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
70;Observatorio Cinegético;https://ciencia-ciudadana.es/proyecto-cc/observatorio-cinegetico/;Animales, Biodiversidad, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
71;PÁJAROS EN LA NUBE-Colegio Ángel Campano De Gines, Sevilla;https://ciencia-ciudadana.es/proyecto-cc/pajaros-en-la-nube-2/;Animales, Biodiversidad, Biología, Clima y Meteorología, Educación, Informática y Ciencias de la Computación, Insectos y Polinizadores, Pájaros;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
72;AEV – Centro de Ciência Cidadã;https://ciencia-ciudadana.es/proyecto-cc/aev-centro-de-ciencia-cidada/;Animales, Biodiversidad, Biología, Ciencia de los Alimentos, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Informática y Ciencias de la Computación, Naturaleza y Aire Libre, Pájaros;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
